Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,TAMILNADU,THENI,0,396.14,0,25.70274097
2020/01/31,TAMILNADU,COIMBATORE,0,382.64,0,15.340728
2020/01/31,TAMILNADU,KARUR,0,227.78,0,14.68199818
2020/01/31,TAMILNADU,VIRUDUNAGAR,0.01,493.17,0.12,21.27713328
2020/01/31,TAMILNADU,NAGAPPATTINAM,0,277.33,0,20.8067515
2020/01/31,TAMILNADU,NAMAKKAL,0,271.98,0,14.94998061
2020/01/31,TAMILNADU,CUDDALORE,0,446.57,0,22.62562517
2020/01/31,TAMILNADU,TIRUPPUR,0,369.66,0,13.25035804
2020/01/31,TAMILNADU,THE NILGIRIS,0,372.57,0,27.33710351
2020/01/31,TAMILNADU,THANJAVUR,0,383.92,0,21.0761129
2020/01/31,TAMILNADU,THOOTHUKKUDI,0,507.65,0.03,20.11644652
2020/01/31,TAMILNADU,DHARMAPURI,0,399.98,0,16.67028306
2020/01/31,TAMILNADU,ERODE,0,472.27,0,15.36466531
2020/01/31,TAMILNADU,KANNIYAKUMARI,0,195.17,0,21.09264821
2020/01/31,TAMILNADU,DINDIGUL,0,583.3,0,17.86139043
2020/01/31,TAMILNADU,VILUPPURAM,0,778.71,0,20.38357491
2020/01/31,TAMILNADU,TIRUVANNAMALAI,0,678.41,0,20.69749168
2020/01/31,TAMILNADU,RAMANATHAPURAM,0.01,469.53,0.13,21.34792171
2020/01/31,TAMILNADU,SIVAGANGA,0,400.92,0,17.45433652
2020/01/31,TAMILNADU,ARIYALUR,0,206.07,0,19.74637918
2020/01/31,TAMILNADU,KANCHEEPURAM,0.04,529.27,0.38,21.6386511
2020/01/31,TAMILNADU,VELLORE,0,561.95,0,17.5155584
2020/01/31,TAMILNADU,KRISHNAGIRI,0,392.71,0,14.41631857
2020/01/31,TAMILNADU,TIRUCHIRAPPALLI,0,405.6,0,16.78256852
2020/01/31,TAMILNADU,PERAMBALUR,0,237.13,0,25.30849012
2020/01/31,TAMILNADU,THIRUVARUR,0,317.2,0,26.00472113
2020/01/31,TAMILNADU,TIRUNELVELI,0,590.22,0,15.91970756
2020/01/31,TAMILNADU,CHENNAI,0,7.76,0,11.44618427
2020/01/31,TAMILNADU,THIRUVALLUR,0,330.46,0,19.24715139
2020/01/31,TAMILNADU,SALEM,0,466.86,0,16.79567516
